y,x0,x1
0.00E+00,2.05E+00,5.28E-01
0.00E+00,3.14E+00,-2.71E+00
0.00E+00,2.02E+00,-2.42E+00
0.00E+00,-2.84E+00,-4.61E-01
0.00E+00,-7.76E-01,-2.30E+00
0.00E+00,-3.72E+00,-6.76E-01
1.00E+00,-6.77E-01,1.44E-01
0.00E+00,1.37E+00,-2.86E+00
1.00E+00,3.98E-02,-4.89E-01
1.00E+00,4.38E-01,-7.18E-01
0.00E+00,-1.85E+00,-6.54E-01
0.00E+00,2.93E+00,2.33E+00
1.00E+00,8.67E-01,4.81E-01
1.00E+00,7.12E-01,-1.73E-01
1.00E+00,-3.03E-01,-8.26E-01
0.00E+00,-9.15E-01,4.38E+00
0.00E+00,2.17E+00,4.31E+00
0.00E+00,-2.60E+00,4.55E+00
1.00E+00,5.40E-02,1.68E-02
